Nombre,Marca,Precio,Stock,Ventas
Lego Classic,LEGO,29.99,100,769
Barbie Dreamhouse,Mattel,199.99,25,173
Nerf Elite,Hasbro,49.95,75,901
Monopoly,Hasbro,19.99,50,35
Hot Wheels,Mattel,34.95,120,846
PlayDoh,Hasbro,12.99,200,551
Remote Control Car,Bezgar,59.99,30,201
Jenga Classic,Hasbro,14.99,80,861
Rubik's Cube,Kyosho,9.99,150,157
UNOCardGame,Mattel,7.99,95,648
TeddyBear,Mattel,24.99,60,716
Paw Patrol,Mattel,39.99,45,593
Fidget Spinner,Hasbro,5.99,300,307
Autobus de batalla,LEGO,22.50,40,67
